benchmark,family,result,time,memory,conflict,decision,stage
mbo_E22E25,20161105-Sturm-MBO,timeout,1199.98,331.48,0,0,0
mbo_E22E26,20161105-Sturm-MBO,timeout,1199.97,470.91,0,0,0
mbo_E22E27,20161105-Sturm-MBO,timeout,1199.97,116.12,0,0,0
mbo_E22E28,20161105-Sturm-MBO,timeout,1199.98,345.76,0,0,0
mbo_E22,20161105-Sturm-MBO,unsat,0.0,18.11,4.0,0,5.0
mbo_E23E24,20161105-Sturm-MBO,timeout,1199.97,298.18,0,0,0
mbo_E23E25,20161105-Sturm-MBO,timeout,1199.98,445.83,0,0,0
mbo_E23E26,20161105-Sturm-MBO,unsat,0.05,18.1,14.0,3.0,14.0
mbo_E23E27,20161105-Sturm-MBO,unsat,0.0,18.12,3.0,0,4.0
mbo_E23E28,20161105-Sturm-MBO,unsat,0.0,18.12,3.0,0,4.0
mbo_E23,20161105-Sturm-MBO,unsat,0.0,18.02,1.0,0,2.0
mbo_E24E25,20161105-Sturm-MBO,timeout,1199.96,335.93,0,0,0
mbo_E24E26,20161105-Sturm-MBO,timeout,1199.96,484.66,0,0,0
mbo_E24E27,20161105-Sturm-MBO,unsat,0.04,18.19,71.0,63.0,53.0
mbo_E24E28,20161105-Sturm-MBO,unsat,0.04,18.51,5.0,0,6.0
mbo_E24,20161105-Sturm-MBO,unsat,0.03,18.11,55.0,47.0,46.0
mbo_E25E26,20161105-Sturm-MBO,timeout,1199.97,210.31,0,0,0
mbo_E25E27,20161105-Sturm-MBO,timeout,1199.98,165.57,0,0,0
mbo_E25E28,20161105-Sturm-MBO,timeout,1199.98,519.04,0,0,0
mbo_E25,20161105-Sturm-MBO,timeout,1199.98,68.46,0,0,0
mbo_E26E27,20161105-Sturm-MBO,unsat,0.01,18.12,7.0,4.0,7.0
mbo_E26E28,20161105-Sturm-MBO,unsat,0.04,18.11,13.0,2.0,14.0
mbo_E26,20161105-Sturm-MBO,unsat,0.0,18.02,1.0,0,2.0
mbo_E27E28,20161105-Sturm-MBO,unsat,0.0,18.12,3.0,0,4.0
mbo_E27,20161105-Sturm-MBO,unsat,0,18.01,0,0,0
mbo_E28,20161105-Sturm-MBO,unsat,0.0,18.11,2.0,0,3.0
mbo_E2E10,20161105-Sturm-MBO,timeout,1199.91,427.61,0,0,0
mbo_E2E11,20161105-Sturm-MBO,timeout,1199.96,466.94,0,0,0
mbo_E2E12,20161105-Sturm-MBO,timeout,1199.86,335.71,0,0,0
mbo_E2E13,20161105-Sturm-MBO,timeout,1199.89,344.47,0,0,0
mbo_E2E14,20161105-Sturm-MBO,timeout,1199.83,404.44,0,0,0
mbo_E2E15,20161105-Sturm-MBO,timeout,1199.87,379.39,0,0,0
mbo_E2E16,20161105-Sturm-MBO,timeout,1199.9,742.76,0,0,0
mbo_E2E17,20161105-Sturm-MBO,timeout,1199.89,613.51,0,0,0
mbo_E2E18,20161105-Sturm-MBO,timeout,1199.89,458.69,0,0,0
mbo_E2E19,20161105-Sturm-MBO,timeout,1199.89,330.34,0,0,0
mbo_E2E20,20161105-Sturm-MBO,timeout,1199.87,332.33,0,0,0
mbo_E2E21,20161105-Sturm-MBO,timeout,1199.94,424.93,0,0,0
mbo_E2E22,20161105-Sturm-MBO,timeout,1199.92,282.62,0,0,0
mbo_E2E23,20161105-Sturm-MBO,timeout,1199.92,429.48,0,0,0
mbo_E2E24,20161105-Sturm-MBO,timeout,1199.9,418.39,0,0,0
mbo_E2E25,20161105-Sturm-MBO,timeout,1199.88,285.88,0,0,0
mbo_E2E26,20161105-Sturm-MBO,timeout,1199.96,533.02,0,0,0
mbo_E2E27,20161105-Sturm-MBO,timeout,1199.96,279.26,0,0,0
mbo_E2E28,20161105-Sturm-MBO,timeout,1199.92,549.09,0,0,0
mbo_E2E3,20161105-Sturm-MBO,timeout,1199.9,296.57,0,0,0
mbo_E2E4,20161105-Sturm-MBO,timeout,1199.89,434.61,0,0,0
mbo_E2E5,20161105-Sturm-MBO,timeout,1199.87,715.99,0,0,0
mbo_E2E6,20161105-Sturm-MBO,timeout,1199.88,609.42,0,0,0
mbo_E2E7,20161105-Sturm-MBO,timeout,1199.93,468.48,0,0,0
mbo_E2E8,20161105-Sturm-MBO,timeout,1199.9,292.62,0,0,0
mbo_E2E9,20161105-Sturm-MBO,timeout,1199.89,709.33,0,0,0
mbo_E2,20161105-Sturm-MBO,timeout,1199.96,234.42,0,0,0
mbo_E3E10,20161105-Sturm-MBO,timeout,1199.9,333.73,0,0,0
mbo_E3E11,20161105-Sturm-MBO,timeout,1199.96,454.53,0,0,0
mbo_E3E12,20161105-Sturm-MBO,timeout,1199.9,409.03,0,0,0
mbo_E3E13,20161105-Sturm-MBO,timeout,1199.9,277.27,0,0,0
mbo_E3E14,20161105-Sturm-MBO,timeout,1199.77,658.18,0,0,0
mbo_E3E15,20161105-Sturm-MBO,timeout,1199.89,308.02,0,0,0
mbo_E3E16,20161105-Sturm-MBO,timeout,1199.9,735.89,0,0,0
mbo_E3E17,20161105-Sturm-MBO,timeout,1199.89,608.78,0,0,0
mbo_E3E18,20161105-Sturm-MBO,timeout,1199.9,388.08,0,0,0
mbo_E3E19,20161105-Sturm-MBO,timeout,1199.84,374.12,0,0,0
mbo_E3E20,20161105-Sturm-MBO,timeout,1199.93,360.45,0,0,0
mbo_E3E21,20161105-Sturm-MBO,timeout,1199.92,422.84,0,0,0
mbo_E3E22,20161105-Sturm-MBO,timeout,1199.91,464.19,0,0,0
mbo_E3E23,20161105-Sturm-MBO,timeout,1199.93,427.79,0,0,0
mbo_E3E24,20161105-Sturm-MBO,timeout,1199.9,166.95,0,0,0
mbo_E3E25,20161105-Sturm-MBO,timeout,1199.92,465.64,0,0,0
mbo_E3E26,20161105-Sturm-MBO,timeout,1199.93,532.42,0,0,0
mbo_E3E27,20161105-Sturm-MBO,timeout,1199.96,83.06,0,0,0
mbo_E3E28,20161105-Sturm-MBO,timeout,1199.91,287.28,0,0,0
mbo_E3E4,20161105-Sturm-MBO,timeout,1199.91,302.49,0,0,0
mbo_E3E5,20161105-Sturm-MBO,timeout,1199.88,710.18,0,0,0
mbo_E3E6,20161105-Sturm-MBO,timeout,1199.89,756.08,0,0,0
mbo_E3E7,20161105-Sturm-MBO,timeout,1199.94,416.64,0,0,0
mbo_E3E8,20161105-Sturm-MBO,timeout,1199.9,346.41,0,0,0
mbo_E3E9,20161105-Sturm-MBO,timeout,1199.91,736.89,0,0,0
mbo_E3,20161105-Sturm-MBO,timeout,1199.97,75.98,0,0,0
mbo_E4E10,20161105-Sturm-MBO,timeout,1199.91,451.83,0,0,0
mbo_E4E11,20161105-Sturm-MBO,timeout,1199.96,417.4,0,0,0
mbo_E4E12,20161105-Sturm-MBO,timeout,1200.1,347.4,0,0,0
mbo_E4E13,20161105-Sturm-MBO,timeout,1199.88,446.65,0,0,0
mbo_E4E14,20161105-Sturm-MBO,timeout,1199.88,461.74,0,0,0
mbo_E4E15,20161105-Sturm-MBO,timeout,1199.91,352.98,0,0,0
mbo_E4E16,20161105-Sturm-MBO,timeout,1199.89,804.61,0,0,0
mbo_E4E17,20161105-Sturm-MBO,timeout,1199.9,625.24,0,0,0
mbo_E4E18,20161105-Sturm-MBO,timeout,1199.92,482.12,0,0,0
mbo_E4E19,20161105-Sturm-MBO,timeout,1199.91,312.4,0,0,0
mbo_E4E20,20161105-Sturm-MBO,timeout,1199.93,453.85,0,0,0
mbo_E4E21,20161105-Sturm-MBO,timeout,1199.94,458.09,0,0,0
mbo_E4E22,20161105-Sturm-MBO,timeout,1199.93,404.55,0,0,0
mbo_E4E23,20161105-Sturm-MBO,timeout,1199.94,468.3,0,0,0
mbo_E4E24,20161105-Sturm-MBO,timeout,1199.92,482.15,0,0,0
mbo_E4E25,20161105-Sturm-MBO,timeout,1199.92,488.62,0,0,0
