benchmark,family,result,time,memory
mbo_E3E5,20161105-Sturm-MBO,unsat,18.217,188.496
mbo_E3E6,20161105-Sturm-MBO,unsat,16.532,187.023
mbo_E3E7,20161105-Sturm-MBO,unsat,5.779,97.125
mbo_E3E8,20161105-Sturm-MBO,unsat,18.295,181.402
mbo_E3E9,20161105-Sturm-MBO,timeout,0,0
mbo_E3,20161105-Sturm-MBO,unsat,0.384,23.566
mbo_E4E10,20161105-Sturm-MBO,timeout,0,0
mbo_E4E11,20161105-Sturm-MBO,timeout,0,0
mbo_E4E12,20161105-Sturm-MBO,timeout,0,0
mbo_E4E13,20161105-Sturm-MBO,timeout,0,0
mbo_E4E14,20161105-Sturm-MBO,timeout,0,0
mbo_E4E15,20161105-Sturm-MBO,timeout,0,0
mbo_E4E16,20161105-Sturm-MBO,timeout,0,0
mbo_E4E17,20161105-Sturm-MBO,timeout,0,0
mbo_E4E18,20161105-Sturm-MBO,timeout,0,0
mbo_E4E19,20161105-Sturm-MBO,timeout,0,0
mbo_E4E20,20161105-Sturm-MBO,timeout,0,0
mbo_E4E21,20161105-Sturm-MBO,timeout,0,0
mbo_E4E22,20161105-Sturm-MBO,timeout,0,0
mbo_E4E23,20161105-Sturm-MBO,unsat,7.482,114.039
mbo_E4E24,20161105-Sturm-MBO,unsat,9.056,132.465
mbo_E4E25,20161105-Sturm-MBO,timeout,0,0
mbo_E4E26,20161105-Sturm-MBO,unsat,7.796,119.871
mbo_E4E27,20161105-Sturm-MBO,unsat,1.048,45.137
mbo_E4E28,20161105-Sturm-MBO,unsat,8.622,126.055
mbo_E4E5,20161105-Sturm-MBO,unsat,18.056,185.246
mbo_E4E6,20161105-Sturm-MBO,unsat,12.232,165.637
mbo_E4E7,20161105-Sturm-MBO,unsat,3.672,79.91
mbo_E4E8,20161105-Sturm-MBO,timeout,0,0
mbo_E4E9,20161105-Sturm-MBO,timeout,0,0
mbo_E4,20161105-Sturm-MBO,unsat,0.66,73.66
